Smiles;RON;MON
CCCC#CCC;40.0;
CC1=CC=CC=C1;121.05;103.67
CC1=C(C)C=CC=C1;120.0;100.75
C1=CC=CC=C1;120.0;115.0
CCC1=CC=CC=C1;107.2;97.68
C=CC1=CC=CC=C1;115.5;102.5
CCCC1=CC=CC=C1;101.5;98.78
CC(C)C1=CC=CC=C1;102.1;99.2
CCC1=CC=CC=C1C;102.5;92.1
CCC1=CC=CC(=C1)C;112.1;100.0
CCC1=CC=C(C=C1)C;112.8;97.0
CC1=C(C(=CC=C1)C)C;105.3;100.8
CC1=CC(=C(C=C1)C)C;109.87;106.8
CCCCC1=CC=CC=C1;104.27;94.6
CC(C)CC1=CC=CC=C1;111.4;98.0
CCC(C)C1=CC=CC=C1;106.7;95.7
CC(C)(C)C1=CC=CC=C1;115.5;107.4
CCC1=CC(=CC=C1)CC;115.5;97.0
CCC1=CC=C(C=C1)CC;106.0;95.78
CCC1=CC=CC(=C1C)C;104.4;91.9
CCC1=C(C)C=C(C)C=C1;106.0;95.9
CCC1=CC(=CC(=C1)C)C;114.8;102.5
CCC1=C(C=CC(=C1)C)C;106.0;96.02
CCCC1=CC=CC=C1C;103.5;92.2
CCCC1=CC=CC(=C1)C;112.1;100.5
CC1=CC=CC=C1C(C)C;106.0;96.0
CC1=CC=C(C=C1)C(C)C;110.33;97.8
CC1=C(C(=C(C=C1)C)C)C;105.3;100.3
CC1=CC(=C(C(=C1)C)C)C;;102.5
CCCCCC1=CC=CC=C1;89.2;81.7
CCCC(C)C1=CC=CC=C1;103.5;92.1
CCC(C)(C)C1=CC=CC=C1;108.0;96.8
CC(=C)C1=CC=CC=C1;113.1;101.3
CC(=CC1=CC=CC=C1)C;105.3;91.7
CC1=CC=CC=C1CC=C;98.6;86.0
C1C=CC2=CC=CC=C21;113.7;106.7
C1CC2=CC=CC=C2C1;104.4;89.8
C\C=C/c1ccccc1;105.3;91.7
C/C=C/c1ccccc1;104.4;92.1
C=CCC1=CC=CC=C1;102.5;90.9
C1CCCC1;101.4;84.93
CC1CCCC1;91.2;80.0
C[C@@H]1CC[C@@H](C)C1;80.6;72.6
CC1(C)CCCC1;92.3;90.3
CC1CCC(C)(C)C1;87.7;83.5
CC1CC(C)C(C)C1;89.2;79.5
CC1CC(C)C(C)(C)C1;96.2;85.97
CC(C)CC1CCCC1;33.4;28.2
C=CC1CCCC1;69.3;54.3
CC=C1CCCC1;82.4;66.6
C=CCC1CCCC1;52.1;45.6
CC(C)C1CCCC1;81.1;76.2
CCCC1CCCC1;31.2;28.1
CCC1CCCC1;67.13;61.2
CCC1CCC(C)C1;57.6;59.8
C1CCCCC1;83.25;77.25
CC1CCCCC1;74.57;71.1
CCC1CCCCC1;45.6;40.8
CC1(C)CCCCC1;87.3;85.9
C[C@H]1CCCC[C@@H]1C;80.9;78.6
C[C@@H]1CCC[C@@H](C1)C;71.7;71.0
C[C@H]1CC[C@H](CC1)C;67.2;68.2
CC1CCCCC1(C)C;95.7;87.7
CC1CCCC(C)(C)C1;81.2;82.4
C[C@@H]1CCC[C@@H](C1C)C;83.4;81.0
C[C@H]1CC[C@H](C)[C@@H](C)C1;72.95;74.45
CC1CC(C)CC(C)C1;68.5;70.1
CCCC1CCCCC1;17.87;14.0
CC(C)C1CCCCC1;62.8;61.1
CCC1(CCCCC1)C;68.7;76.7
CC(C)CC1CCCCC1;33.7;28.9
CCC(C)C1CCCCC1;51.0;55.2
CC(C)(C)C1CCCCC1;98.5;89.2
CCC[C@H]1CCCC[C@H]1C;30.4;38.8
C[C@H]1CC[C@H](CC1)C(C)C;62.27;61.93
CCC(C)(C)C1CCCCC1;90.4;85.1
C=CC1CCCCC1;64.3;53.4
CC=C1CCCCC1;83.0;70.6
CCCCC1CCCCC1;63.8;
CC1CCC2CC1C2(C)C;77.35;65.45
CC1=CCC2C(C1)C2(C)C;73.5;55.8
CC(C)C12CCC(=C)C1C2;80.9;59.0
CC(C)C12CCC(O1)(CC2)C;98.4;
CC1(C2CCC(O1)(CC2)C)C;99.2;91.2
CC1CC1;102.5;81.2
CCC1CC1;102.3;83.9
C[C@@H]1C[C@@H]1C;104.0;84.3
C[C@@H]1C[C@H]1C;104.4;
CC(C)C1CC1;100.3;88.1
CC1CC1(C)C;111.0;87.8
CC1(CC1(C)C)C;105.3;90.1
CC(=C)C1CC1;94.5;74.8
CCC1CCC1;41.1;63.9
